id,instrument_name,category,issuing_authority,index_source_url,canonical_url,expected_version_hint,status,source_document_id,last_checked_at,notes
SPP-010,State Planning Policy 3.4 Natural Hazards and Disasters,SPP,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/planning-codes-and-state-planning-policies,https://www.wa.gov.au/government/publications/state-planning-policy-34-natural-hazards-and-disasters,,extracted,,2026-06-10,
SPP-011,State Planning Policy 3.5 Historic Heritage Conservation,SPP,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/planning-codes-and-state-planning-policies,https://www.wa.gov.au/government/publications/state-planning-policy-35-historic-heritage-conservation,,extracted,,2026-06-10,
SPP-012,State Planning Policy 3.6 Infrastructure Contributions,SPP,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/planning-codes-and-state-planning-policies,https://www.wa.gov.au/government/publications/state-planning-policy-36-infrastructure-contributions,,extracted,,2026-06-10,
SPP-013,State Planning Policy 3.7 Planning in Bushfire Prone Areas,SPP,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/planning-codes-and-state-planning-policies,https://www.planning.wa.gov.au/state-planning-policy-3.7-bushfire,,extracted,,2026-06-10,
SPP-014,State Planning Policy 4.1 Industrial Interface,SPP,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/planning-codes-and-state-planning-policies,https://www.wa.gov.au/government/publications/draft-state-planning-policy-41-industrial-interface,,extracted,,2026-06-10,confirmed: instrument exists only as draft; URL serves current draft (advisory weight only)
SPP-015,State Planning Policy 4.2 Activity Centres for Perth and Peel,SPP,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/planning-codes-and-state-planning-policies,https://www.wa.gov.au/government/publications/state-planning-policy-42-activity-centres-perth-and-peel,,extracted,,2026-06-10,
SPP-016,State Planning Policy 5.1 Land Use Planning in the Vicinity of Perth Airport,SPP,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/planning-codes-and-state-planning-policies,https://www.wa.gov.au/government/publications/state-planning-policy-51-land-use-planning-the-vicinity-of-perth-airport,,extracted,,2026-06-10,
SPP-017,State Planning Policy 5.2 Telecommunications Infrastructure,SPP,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/planning-codes-and-state-planning-policies,https://www.wa.gov.au/government/publications/state-planning-policy-52-telecommunications-infrastructure,,extracted,,2026-06-10,
SPP-018,State Planning Policy 5.3 Land Use Planning in the Vicinity of Jandakot Airport,SPP,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/planning-codes-and-state-planning-policies,https://www.wa.gov.au/government/publications/state-planning-policy-53-land-use-planning-the-vicinity-of-jandakot-airport,,extracted,,2026-06-10,
SPP-019,State Planning Policy 5.4 Road and Rail Noise,SPP,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/planning-codes-and-state-planning-policies,https://www.wa.gov.au/government/publications/state-planning-policy-54-road-and-rail-noise,,extracted,,2026-06-10,
SPP-020,State Planning Policy 6.1 Leeuwin-Naturaliste Ridge,SPP,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/planning-codes-and-state-planning-policies,https://www.wa.gov.au/government/publications/state-planning-policy-61-leeuwin-naturaliste-ridge,,extracted,,2026-06-10,
SPP-021,State Planning Policy 6.3 Ningaloo Coast,SPP,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/planning-codes-and-state-planning-policies,https://www.wa.gov.au/government/publications/state-planning-policy-63-ningaloo-coast,,extracted,,2026-06-10,
SPP-022,State Planning Policy 7.0 Design of the Built Environment,SPP,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/planning-codes-and-state-planning-policies,https://www.wa.gov.au/government/publications/state-planning-policy-70-design-of-the-built-environment,,extracted,,2026-06-10,
SPP-023,State Planning Policy 7.2 Precinct Design,SPP,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/planning-codes-and-state-planning-policies,https://www.wa.gov.au/government/publications/state-planning-policy-72-precinct-design,,extracted,,2026-06-10,
DC-001,Operational Policy 1.1 Subdivision of Land - General Principles,DC,Western Australian Planning Commission,https://www.wa.gov.au/organisation/department-of-planning-lands-and-heritage/development-control-and-operational-policies,https://www.wa.gov.au/government/publications/operational-policy-11-subdivision-of-land-general-principles,,extracted,,2026-06-10,
DC-002,Development Control Policy 1.3 Strata Titles,DC,Western Australian Planning Commission,https://www.wa.gov.au/organisation/department-of-planning-lands-and-heritage/development-control-and-operational-policies,https://www.wa.gov.au/government/publications/development-control-policy-13-strata-titles,,extracted,,2026-06-10,
DC-003,Development Control Policy 1.5 Bicycle Planning,DC,Western Australian Planning Commission,https://www.wa.gov.au/organisation/department-of-planning-lands-and-heritage/development-control-and-operational-policies,https://www.wa.gov.au/government/publications/development-control-policy-15-bicycle-planning,,extracted,,2026-06-10,
DC-004,Development Control Policy 1.6 Planning to Support Transit Use and Development,DC,Western Australian Planning Commission,https://www.wa.gov.au/organisation/department-of-planning-lands-and-heritage/development-control-and-operational-policies,https://www.wa.gov.au/government/publications/development-control-policy-16-planning-support-transit-use-and-development,,extracted,,2026-06-10,
DC-005,Development Control Policy 1.7 General Road Planning,DC,Western Australian Planning Commission,https://www.wa.gov.au/organisation/department-of-planning-lands-and-heritage/development-control-and-operational-policies,https://www.wa.gov.au/government/publications/development-control-policy-17-general-road-planning,,extracted,,2026-06-10,
DC-006,Development Control Policy 1.8 Canal Estates and Artificial Waterway Developments,DC,Western Australian Planning Commission,https://www.wa.gov.au/organisation/department-of-planning-lands-and-heritage/development-control-and-operational-policies,https://www.wa.gov.au/government/publications/development-control-policy-18-canal-estates-and-artificial-waterway-developments,,extracted,,2026-06-10,
DC-007,Development Control Policy 1.10 Freeway Service Centres and Roadhouses,DC,Western Australian Planning Commission,https://www.wa.gov.au/organisation/department-of-planning-lands-and-heritage/development-control-and-operational-policies,https://www.wa.gov.au/government/publications/development-control-policy-110-freeway-services-centres-roadhouses-incl-signage,,extracted,,2026-06-10,
DC-008,Development Control Policy 1.11 Community Schemes,DC,Western Australian Planning Commission,https://www.wa.gov.au/organisation/department-of-planning-lands-and-heritage/development-control-and-operational-policies,https://www.wa.gov.au/government/publications/development-control-policy-111-community-schemes,,extracted,,2026-06-10,
DC-009,Development Control Policy 2.2 Residential Subdivision,DC,Western Australian Planning Commission,https://www.wa.gov.au/organisation/department-of-planning-lands-and-heritage/development-control-and-operational-policies,https://www.wa.gov.au/government/publications/development-control-policy-22-residential-subdivision,,extracted,,2026-06-10,
DC-010,Development Control Policy 2.4 School Sites,DC,Western Australian Planning Commission,https://www.wa.gov.au/organisation/department-of-planning-lands-and-heritage/development-control-and-operational-policies,https://www.wa.gov.au/government/publications/development-control-policy-24-school-sites,,extracted,,2026-06-10,
DC-011,Development Control Policy 2.6 Residential Road Planning,DC,Western Australian Planning Commission,https://www.wa.gov.au/organisation/department-of-planning-lands-and-heritage/development-control-and-operational-policies,https://www.wa.gov.au/government/publications/development-control-policy-26-residential-road-planning,,extracted,,2026-06-10,
DC-012,Development Control Policy 3.4 Subdivision of Rural Land,DC,Western Australian Planning Commission,https://www.wa.gov.au/organisation/department-of-planning-lands-and-heritage/development-control-and-operational-policies,https://www.wa.gov.au/government/publications/development-control-policy-34-subdivision-of-rural-land,,extracted,,2026-06-10,
DC-013,Development Control Policy 4.1 Industrial Subdivision,DC,Western Australian Planning Commission,https://www.wa.gov.au/organisation/department-of-planning-lands-and-heritage/development-control-and-operational-policies,https://www.wa.gov.au/government/publications/development-control-policy-41-industrial-subdivision,,extracted,,2026-06-10,
DC-014,Development Control Policy 4.2 Planning for Hazards and Safety,DC,Western Australian Planning Commission,https://www.wa.gov.au/organisation/department-of-planning-lands-and-heritage/development-control-and-operational-policies,https://www.wa.gov.au/government/publications/development-control-policy-42-planning-hazards-and-safety,,extracted,,2026-06-10,
DC-015,Development Control Policy 5.1 Regional Roads (Vehicular Access),DC,Western Australian Planning Commission,https://www.wa.gov.au/organisation/department-of-planning-lands-and-heritage/development-control-and-operational-policies,https://www.wa.gov.au/government/publications/development-control-policy-51-regional-roads-vehicular-access,,extracted,,2026-06-10,
DC-016,"Development Control Policy 5.3 Use of Land Reserved for Parks, Recreation and Regional Open Space",DC,Western Australian Planning Commission,https://www.wa.gov.au/organisation/department-of-planning-lands-and-heritage/development-control-and-operational-policies,https://www.wa.gov.au/government/publications/development-control-policy-53-use-of-land-reserved-parks-recreation-and-regional-open-space,,extracted,,2026-06-10,
DC-017,Development Control Policy 5.4 Advertising on Reserved Land,DC,Western Australian Planning Commission,https://www.wa.gov.au/organisation/department-of-planning-lands-and-heritage/development-control-and-operational-policies,https://www.wa.gov.au/government/publications/development-control-policy-54-advertising-reserved-land,,extracted,,2026-06-10,
PS-001,Position Statement: Purpose-built Student Accommodation,position_statement,Western Australian Planning Commission,https://www.wa.gov.au/organisation/department-of-planning-lands-and-heritage/position-statements,https://www.wa.gov.au/government/publications/position-statement-purpose-built-student-accommodation,,extracted,,2026-06-10,
PS-002,Position Statement: Public Open Space,position_statement,Western Australian Planning Commission,https://www.wa.gov.au/organisation/department-of-planning-lands-and-heritage/position-statements,https://www.wa.gov.au/government/document-collections/position-statement-public-open-space,,extracted,,2026-06-10,
PS-003,Position Statement: Planning for Tourism and Short-term Rental Accommodation,position_statement,Western Australian Planning Commission,https://www.wa.gov.au/organisation/department-of-planning-lands-and-heritage/position-statements,https://www.wa.gov.au/system/files/2024-11/position-statement-planning-for-tourism-active-nov-2024.pdf,Nov 2024,extracted,,2026-06-10,
PS-004,Position Statement: Electric Vehicle Charging Infrastructure,position_statement,Western Australian Planning Commission,https://www.wa.gov.au/organisation/department-of-planning-lands-and-heritage/position-statements,https://www.wa.gov.au/government/publications/draft-position-statement-electric-vehicle-charging-infrastructure,,extracted,,2026-06-10,confirmed: instrument exists only as draft; URL serves current draft (advisory weight only)
PS-005,Position Statement: Special Residential Zones,position_statement,Western Australian Planning Commission,https://www.wa.gov.au/organisation/department-of-planning-lands-and-heritage/position-statements,https://www.wa.gov.au/government/publications/position-statement-special-residential-zone,,extracted,,2026-06-10,
PS-006,Position Statement: Residential Accommodation for Ageing Persons,position_statement,Western Australian Planning Commission,https://www.wa.gov.au/organisation/department-of-planning-lands-and-heritage/position-statements,https://www.wa.gov.au/government/publications/position-statement-residential-accommodation-ageing-persons,,extracted,,2026-06-10,
PS-007,Position Statement: Container Deposit Scheme Infrastructure,position_statement,Western Australian Planning Commission,https://www.wa.gov.au/organisation/department-of-planning-lands-and-heritage/position-statements,https://www.wa.gov.au/government/publications/position-statement-container-deposit-scheme-infrastructure,,extracted,,2026-06-10,
PS-008,Position Statement: Renewable Energy Facilities,position_statement,Western Australian Planning Commission,https://www.wa.gov.au/organisation/department-of-planning-lands-and-heritage/position-statements,https://www.wa.gov.au/government/publications/position-statement-renewable-energy-facilities,,extracted,,2026-06-10,
PS-009,Position Statement: Housing on Lots Less than 100m2,position_statement,Western Australian Planning Commission,https://www.wa.gov.au/organisation/department-of-planning-lands-and-heritage/position-statements,https://www.wa.gov.au/government/publications/position-statement-housing-lots-less-100m2,,extracted,,2026-06-10,
PS-010,Position Statement: Workforce Accommodation,position_statement,Western Australian Planning Commission,https://www.wa.gov.au/organisation/department-of-planning-lands-and-heritage/position-statements,https://www.wa.gov.au/government/publications/position-statement-workforce-accommodation,,extracted,,2026-06-10,
PS-011,Position Statement: Dark Sky and Astrotourism,position_statement,Western Australian Planning Commission,https://www.wa.gov.au/organisation/department-of-planning-lands-and-heritage/position-statements,https://www.wa.gov.au/government/publications/draft-planning-position-statement-dark-sky-and-astrotourism,,extracted,,2026-06-10,confirmed: instrument exists only as draft; URL serves current draft (advisory weight only)
PB-001,Planning Bulletin 33 Rights-of-way or Laneways in Established Areas,planning_bulletin,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/planning-bulletins,https://www.wa.gov.au/system/files/2021-07/PB_33_Rights_of_way.pdf,,extracted,,2026-06-10,
PB-002,Planning Bulletin 112 Medium-density Single House Development Standards,planning_bulletin,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/planning-bulletins,https://www.wa.gov.au/system/files/2024-04/planning_bulletin_112-mar2024.pdf,Mar 2024,extracted,,2026-06-10,
PB-003,Planning Bulletin 113 Multiple Dwellings in R40 Coded Areas,planning_bulletin,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/planning-bulletins,https://www.wa.gov.au/system/files/2021-07/PB_113_multiple_dwellings_R40_44526.pdf,,extracted,,2026-06-10,
PB-004,Planning Bulletin 114 Residential Design Codes Volume 1 and 2,planning_bulletin,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/planning-bulletins,https://www.wa.gov.au/system/files/2024-03/planning_bulletin_114_mar20242.pdf,Mar 2024,extracted,,2026-06-10,
PB-005,Planning Bulletin 115 Short-Term Rental Accommodation Guide,planning_bulletin,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/planning-bulletins,https://www.wa.gov.au/system/files/2024-09/planning_bulletin_115_2024_0.pdf,2024,extracted,,2026-06-10,
PB-006,Planning Bulletin 100 State Planning Policy 3.6 Development Contributions,planning_bulletin,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/planning-bulletins,https://www.wa.gov.au/system/files/2021-07/PB_100_SPP3-6_development_contributions_infrastructure.pdf,,extracted,,2026-06-10,
PB-007,Planning Bulletin 107 Model Subdivision Conditions,planning_bulletin,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/planning-bulletins,https://www.wa.gov.au/system/files/2021-07/PB_107_New_Model_Subdivision.pdf,,extracted,,2026-06-10,
LEG-001,Planning and Development Act 2005,legislation,Parliament of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/actsif_p.html,https://www.legislation.wa.gov.au/legislation/statutes.nsf/RedirectURL?OpenAgent&query=mrdoc_49203.pdf,consolidated 19 Feb 2026,extracted,,2026-06-10,official consolidated PDF
LEG-002,Building Act 2011,legislation,Parliament of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/actsif_b.html,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a146834.html&view=consolidated,current consolidated,extracted,,2026-06-10,resolve via actsif_b.html | url resolved from index page
LEG-003,Building Regulations 2012,legislation,Parliament of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a146877_subsidiary.html,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_s43955.html&view=consolidated,current consolidated,extracted,,2026-06-10,resolve via Building Act 2011 subsidiary page
LEG-004,Strata Titles Act 1985,legislation,Parliament of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/actsif_s.html,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a796.html&view=consolidated,current consolidated,extracted,,2026-06-10,resolve via actsif_s.html | url resolved from index page
LEG-005,Environmental Protection Act 1986,legislation,Parliament of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/actsif_e.html,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a252.html&view=consolidated,current consolidated,extracted,,2026-06-10,resolve via actsif_e.html | url resolved from index page
LEG-006,Bush Fires Act 1954,legislation,Parliament of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/actsif_b.html,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a95.html&view=consolidated,current consolidated,extracted,,2026-06-10,resolve via actsif_b.html | url resolved from index page
LEG-007,Heritage Act 2018,legislation,Parliament of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/actsif_h.html,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a147195.html&view=consolidated,current consolidated,extracted,,2026-06-10,resolve via actsif_h.html | url resolved from index page
REG-001,Planning and Development (Local Planning Schemes) Regulations 2015,legislation,Parliament of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a9408_subsidiary.html,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_s46246.html&view=consolidated,current consolidated incl Schedule 2 deemed provisions,extracted,,2026-06-10,resolve via P&D Act subsidiary page | url resolved from index page
REG-002,Planning and Development (Development Assessment Panels) Regulations 2011,legislation,Parliament of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a9408_subsidiary.html,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_s42531.html&view=consolidated,current consolidated,extracted,,2026-06-10,resolve via P&D Act subsidiary page | url resolved from index page
REG-003,Planning and Development Regulations 2009,legislation,Parliament of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a9408_subsidiary.html,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_s39645.html&view=consolidated,current consolidated,extracted,,2026-06-10,resolve via P&D Act subsidiary page | url resolved from index page
RS-001,Metropolitan Region Scheme,region_scheme,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/metropolitan-region-scheme,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_s4627.html&view=consolidated,current scheme text,extracted,,2026-06-10,MRS scheme text via legislation.wa.gov.au (wa.gov.au collection 404d)
RS-002,Peel Region Scheme,region_scheme,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/peel-region-scheme,https://www.legislation.wa.gov.au/legislation/statutes.nsf/RedirectURL?OpenAgent&query=mrdoc_24845.pdf,current scheme text,extracted,,2026-06-10,"round_1 re-acquired from https://www.legislation.wa.gov.au/legislation/statutes.nsf/RedirectURL?OpenAgent&query=mrdoc_24845.pdf | previous: https://www.wa.gov.au/government/document-collections/peel-region-scheme | Peel Region Scheme text (legislation.wa.gov.au, version 00-e0-05, 21 May 2013)"
RS-003,Greater Bunbury Region Scheme,region_scheme,Western Australian Planning Commission,https://www.wa.gov.au/government/document-collections/greater-bunbury-region-scheme,https://www.wa.gov.au/government/document-collections/greater-bunbury-region-scheme,current scheme text,extracted,,2026-06-10,no PDF resolved; saved page HTML
MEL-SCH-001,City of Melville Local Planning Scheme No. 6 - Scheme Text,scheme,City of Melville,https://www.wa.gov.au/government/document-collections/city-of-melville-planning-information,https://www.wa.gov.au/system/files/2026-02/melville_6_schemetext.pdf,current consolidated,extracted,,2026-06-10,direct scheme text PDF (Feb 2026 upload)
MEL-SCH-002,City of Melville Local Planning Strategy,strategy,City of Melville,"https://www.melvillecity.com.au/planning-and-building/local-planning-strategy,-scheme-policies-and-plans",https://www.melvillecity.com.au/getContentAsset/953e49d3-7475-4236-85b0-315d9243f3a3/3ca954ad-3848-47c6-8f97-68cebe0b47a2/city-of-melville-local-planning-strategy?language=en,,extracted,,2026-06-10,
MEL-MAP-001,City of Melville LPS6 Scheme Map Sheet 1,scheme_map,City of Melville,https://www.wa.gov.au/government/document-collections/city-of-melville-planning-information,https://www.wa.gov.au/system/files/2022-11/Map1_Melville_LPS6_NEW_Attadale-and-Bicton-Localities.pdf,,extracted,,2026-06-10,verified from wa.gov.au Melville collection
MEL-MAP-002,City of Melville LPS6 Scheme Map Sheet 2,scheme_map,City of Melville,https://www.wa.gov.au/government/document-collections/city-of-melville-planning-information,https://www.wa.gov.au/system/files/2023-02/Map2_Melville_LPS6_Applecross_and_Mount_Pleasant_Localities.pdf,,extracted,,2026-06-10,verified from wa.gov.au Melville collection
MEL-MAP-003,City of Melville LPS6 Scheme Map Sheet 3,scheme_map,City of Melville,https://www.wa.gov.au/government/document-collections/city-of-melville-planning-information,https://www.wa.gov.au/system/files/2026-03/map3_melville_lps6_melville_and_myaree_locality.pdf,,extracted,,2026-06-10,verified from wa.gov.au Melville collection
MEL-MAP-004,City of Melville LPS6 Scheme Map Sheet 4,scheme_map,City of Melville,https://www.wa.gov.au/government/document-collections/city-of-melville-planning-information,https://www.wa.gov.au/system/files/2022-11/Map4_Melville_LPS6_NEW_Booragoon-Locality.pdf,,extracted,,2026-06-10,verified from wa.gov.au Melville collection
MEL-MAP-005,City of Melville LPS6 Scheme Map Sheet 5,scheme_map,City of Melville,https://www.wa.gov.au/government/document-collections/city-of-melville-planning-information,https://www.wa.gov.au/system/files/2024-11/map5_melville_lps6_kardinya.pdf,,extracted,,2026-06-10,verified from wa.gov.au Melville collection
MEL-MAP-006,City of Melville LPS6 Scheme Map Sheet 6,scheme_map,City of Melville,https://www.wa.gov.au/government/document-collections/city-of-melville-planning-information,https://www.wa.gov.au/system/files/2024-11/map6_melville_lps6_murdoch.pdf,,extracted,,2026-06-10,verified from wa.gov.au Melville collection
MEL-MAP-007,City of Melville LPS6 Scheme Map Sheet 7,scheme_map,City of Melville,https://www.wa.gov.au/government/document-collections/city-of-melville-planning-information,https://www.wa.gov.au/system/files/2022-11/Map7_Melville_LPS6_NEW_Kardinya-Locality.pdf,,extracted,,2026-06-10,verified from wa.gov.au Melville collection
MEL-MAP-008,City of Melville LPS6 Scheme Map Sheet 8,scheme_map,City of Melville,https://www.wa.gov.au/government/document-collections/city-of-melville-planning-information,https://www.wa.gov.au/system/files/2022-11/Map8_Melville_LPS6_NEW_Leeming-Locality.pdf,,extracted,,2026-06-10,verified from wa.gov.au Melville collection
MEL-LPP-001,City of Melville LPP 1.1 Planning Process and Decision Making,LPP,City of Melville,"https://www.melvillecity.com.au/planning-and-building/local-planning-strategy,-scheme-policies-and-plans/local-planning-policies",https://www.melvillecity.com.au/getContentAsset/0e1cbf0b-d0fd-4377-b62d-60de395848a3/3ca954ad-3848-47c6-8f97-68cebe0b47a2/LPP1-1-Planning-Process-and-Decision-Making-May-2025.pdf?language=en,,extracted,,2026-06-10,
MEL-LPP-002,City of Melville LPP 1.2 Design Review Panel,LPP,City of Melville,"https://www.melvillecity.com.au/planning-and-building/local-planning-strategy,-scheme-policies-and-plans/local-planning-policies",https://www.melvillecity.com.au/getContentAsset/2fdfcfa4-c637-4f26-acc5-8f8af024d544/3ca954ad-3848-47c6-8f97-68cebe0b47a2/LPP-1-2-Design-Review-Panel.pdf?language=en,,extracted,,2026-06-10,
MEL-LPP-003,City of Melville LPP 1.3 Waste and Recyclables Collection,LPP,City of Melville,"https://www.melvillecity.com.au/planning-and-building/local-planning-strategy,-scheme-policies-and-plans/local-planning-policies",https://www.melvillecity.com.au/getContentAsset/633ebfff-fbd1-430b-955a-4c094d7cd29d/3ca954ad-3848-47c6-8f97-68cebe0b47a2/waste-and-recyclables-collection-for-multiple-dwel?language=en,,extracted,,2026-06-10,
MEL-LPP-004,City of Melville LPP 1.4 Provision of Public Art,LPP,City of Melville,"https://www.melvillecity.com.au/planning-and-building/local-planning-strategy,-scheme-policies-and-plans/local-planning-policies",https://www.melvillecity.com.au/getContentAsset/3c0e658f-1832-49e9-9fda-caba31787366/3ca954ad-3848-47c6-8f97-68cebe0b47a2/LPP-1-4-Provision-of-Public-Art-in-Development-Proposals.pdf?language=en,,extracted,,2026-06-10,
MEL-LPP-005,City of Melville LPP 1.5 Energy Efficiency in Building Design,LPP,City of Melville,"https://www.melvillecity.com.au/planning-and-building/local-planning-strategy,-scheme-policies-and-plans/local-planning-policies",https://www.melvillecity.com.au/getContentAsset/8c17265a-6482-44ed-bbb4-cdba38cd6d33/3ca954ad-3848-47c6-8f97-68cebe0b47a2/energy-efficiency-in-building-design?language=en,,extracted,,2026-06-10,
MEL-LPP-006,City of Melville LPP 1.6 Car Parking and Access,LPP,City of Melville,"https://www.melvillecity.com.au/planning-and-building/local-planning-strategy,-scheme-policies-and-plans/local-planning-policies",https://www.melvillecity.com.au/getContentAsset/f53fbfee-ea82-4f6f-bb3b-b617fbd122d4/3ca954ad-3848-47c6-8f97-68cebe0b47a2/LPP1-6-Parking-and-Access-Final-Version-June-2025.pdf?language=en,,extracted,,2026-06-10,
MEL-LPP-007,City of Melville LPP 1.7 Telecommunications Facilities,LPP,City of Melville,"https://www.melvillecity.com.au/planning-and-building/local-planning-strategy,-scheme-policies-and-plans/local-planning-policies",https://www.melvillecity.com.au/getContentAsset/8c362444-1e5a-4104-a6a5-e0335ef16edf/3ca954ad-3848-47c6-8f97-68cebe0b47a2/LPP1-7-Telecommunications-Facilities-and-Communications-Equipment-FINAL.pdf?language=en,,extracted,,2026-06-10,
MEL-LPP-008,City of Melville LPP 1.8 Crime Prevention Through Environmental Design,LPP,City of Melville,"https://www.melvillecity.com.au/planning-and-building/local-planning-strategy,-scheme-policies-and-plans/local-planning-policies",https://www.melvillecity.com.au/getContentAsset/b3236e04-a9b2-4e90-a58a-1f9c0e4511d1/3ca954ad-3848-47c6-8f97-68cebe0b47a2/crime-prevention-through-environmental-design-of-b?language=en,,extracted,,2026-06-10,
